# scan = 283
# date = 11/10/2003
# time = 11:11:19 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# builtin_command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 2.200000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
     11     0.4950     0.4950     0.4950      4.751   1575.000  18500.000      5.000    41.2537    35.3553   -25.0757    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1540    14.6405    14.6385     0.0020   295.0000     4.2317     4.419
     12     0.4975     0.4976     0.4975      4.633   2736.000  18500.000      5.000    41.2537    35.2904   -25.2056    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1599    14.6405    14.6385     0.0020   295.0000     4.2317     4.419
     13     0.5000     0.5001     0.5000      4.632   3647.000  18500.000      5.000    41.2537    35.2274   -25.3335    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1657    14.6405    14.6385     0.0020   295.0000     4.2267     4.423
     14     0.5024     0.5025     0.5025      4.642   2935.000  18500.000      5.000    41.2537    35.1624   -25.4615    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1715    14.6405    14.6385     0.0020   295.0000     4.2331     4.421
     15     0.5050     0.5051     0.5050      4.710   1874.000  18500.000      5.000    41.2537    35.0984   -25.5914    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1774    14.6405    14.6385     0.0020   295.0000     4.2331     4.421
     16     0.5074     0.5075     0.5075      4.632    854.000  18500.000      5.000    41.2537    35.0335   -25.7194    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1832    14.6405    14.6385     0.0020   295.0000     4.2324     4.421
     17     0.5099     0.5100     0.5100      4.616    433.000  18500.000      5.000    41.2537    34.9695   -25.8483    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1890    14.6405    14.6385     0.0020   295.0000     4.2310     4.422
     18     0.5124     0.5125     0.5125      4.643    241.000  18500.000      5.000    41.2537    34.9045   -25.9772    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1948    14.6405    14.6385     0.0020   295.0000     4.2310     4.422
     19     0.5150     0.5151     0.5150      4.587     87.000  18500.000      5.000    41.2537    34.8406   -26.1082    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2007    14.6405    14.6385     0.0020   295.0000     4.2312     4.422
     20     0.5174     0.5175     0.5175      4.647     24.000  18500.000      5.000    41.2537    34.7756   -26.2351    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2065    14.6405    14.6385     0.0020   295.0000     4.2351     4.417
     21     0.5199     0.5200     0.5200      4.670     13.000  18500.000      5.000    41.2537    34.7106   -26.3641    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2123    14.6405    14.6385     0.0020   295.0000     4.2351     4.417
     22     0.5224     0.5225     0.5225      4.695     10.000  18500.000      5.000    41.2537    34.6467   -26.4920    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2181    14.6405    14.6385     0.0020   295.0000     4.2368     4.422
     23     0.5250     0.5251     0.5250      4.649     16.000  18500.000      5.000    41.2537    34.5807   -26.6239    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2240    14.6405    14.6385     0.0020   295.0000     4.2329     4.430
     24     0.5275     0.5276     0.5275      4.697     16.000  18500.000      5.000    41.2537    34.5177   -26.7528    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2298    14.6405    14.6385     0.0020   295.0000     4.2329     4.430
     25     0.5299     0.5300     0.5300      4.618     11.000  18500.000      5.000    41.2537    34.4518   -26.8798    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2356    14.6405    14.6385     0.0020   295.0000     4.2351     4.424
# Sum of Counts = 16605
# Center of Mass = 0.499791+/-0.005485
# Full Width Half-Maximum = 0.011716+/-0.002357
# 11:14:41 PM  11/10/2003   scan completed.
